eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links
Louisiana August 2016,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Jaysson Funkhouser,Laura LaPolice,LAASC16852,"Mark on brick on front SW corner of the house, third brick from the bottom of the slab. Close to the spigot and A/C unit on house",,,LA,Ascension Parish,,No,,15176,Amite,16852,129,5,3,"Black magic mark on brick on front SW corner of the house, third brick from the bottom of the slab. Close to the spigot and A/C unit on house",30.28997,-90.86742,8/30/2016 4:00:00 AM,12.872,2,6,Left,,4,1.3,1,,LAASC16852-A,Riverine,8/24/2016 4:00:00 AM,1,2,1585,1598,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Jaysson Funkhouser,Arthur Day,LAASC16853,House at the 90 degree turn on Pine Crest Street,,,LA,Ascension Parish,,No,,15177,Amite,16853,129,5,2,Magic marker mark on the SE corner of house,30.28731,-90.87822,8/30/2016 4:00:00 AM,14.316,2,6,Right,,4,3.2,1,,,Riverine,8/24/2016 4:00:00 AM,1,2,1585,1587,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Arthur Day,LAASC16854,"30"" red oak tree in front yard of house at corner of Harry Savoy and Pitre Lane",,,LA,Ascension Parish,,No,,15178,Amite,16854,129,5,3,Nail in 30 inch red oak tree in front yard (sw corner of lot) at house at corner of Harry Savoy and Pitre Lane,30.27283,-90.86233,8/30/2016 4:00:00 AM,14.582,2,6,Right,,6,3.7,1,,,Riverine,8/24/2016 4:00:00 AM,1,2,1585,1587,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Arthur Day,LAASC16855,Two marks at Ascension Parish Mosquito Control Headquarters,,,LA,Ascension Parish,,No,,15179,Amite,16855,129,5,2,Nail in Bradford Pear tree next to Erwin Duhe Road about 150 east of Brittnay Port Vincent Hwy (hwy 431) in SW corner of parking lot,30.27597,-90.87147,8/30/2016 4:00:00 AM,12.46,2,6,Right,,6,2.75,1,,Measured from ground level.,Riverine,8/24/2016 4:00:00 AM,1,2,1585,1587,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Jaysson Funkhouser,Arthur Day,LAASC16855,Two marks at Ascension Parish Mosquito Control Headquarters,,,LA,Ascension Parish,,No,,15180,Amite,16855,129,5,2,On wellhouse at NW corner of parking lot,30.27625,-90.87133,8/30/2016 4:00:00 AM,12.498,2,6,Right,,4,3.75,1,,Measured from ground level.,Riverine,8/24/2016 4:00:00 AM,1,2,1585,1587,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Marker,Handheld GPS,NAD83,Jeffrey Moss,Jeffrey Moss,LAEAS16856,Single story house located in neighborhood on Cuyhanga Pkwy.  HWM located on front wall of carport.,,,LA,East Baton Rouge Parish,,No,,15181,Comite,16856,129,5,1,located in carport of residence at 9345 Cuyhanga Pky. On wall on left side of carport with black marker.,30.46451,-90.08297,9/2/2016 5:00:00 AM,47.906,2,2,Right,,4,1.47,1,,Used TBM and levels to determine elevation.,Riverine,8/25/2016 5:00:00 AM,1,2,1595,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Jeffrey Moss,Jeffrey Moss,LAEAS16857,Residence at 1066 Sinclair St. Mark is a sharpie line identified with data and HWM# located 1st pillar from right from front door.,,,LA,East Baton Rouge Parish,,No,,15182,Comite,16857,129,5,1,"Located at gray house on first pillar from right, if looking at front door.",30.44847,-91.08661,8/30/2016 5:00:00 AM,44.003,2,6,N/A,,4,2.215,1,,Determined elevation by shooting levels to TBM.,Riverine,8/25/2016 5:00:00 AM,0,2,1595,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Nail and HWM tag,Handheld GPS,NAD83,Arthur Day,Jeffrey Moss,LALIV16858,"Seed line on east side of Livingston Parish Chamber of Commerce on window frame near AC  unit

248 Veterans Blvd
Denham Springs",,,LA,Livingston Parish,,No,,15183,Amite River,16858,129,5,1,east side of Livingston Parish chamber of commerce by ac unit,30.46692,-90.96209,9/1/2016 5:00:00 AM,44.476,2,2,N/A,,6,3.72,1,,Used levels and TBM as origin to establish elevation.,Riverine,8/24/2016 5:00:00 AM,1,2,1587,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Mud,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,local control point,Christopher Henry,Jeffrey Moss,LALIV16859,mud line on the inside of the window at NE corner of 188 Veterans Blvd. transferred to outside brick corner of building marked with sharpie line and labeled HWM.,,,LA,Livingston Parish,,No,,15184,Amite River (Millers Canal),16859,129,1,1,mud line on the inside of the window at NE corner of 188 Veterans Blvd. transferred to outside brick corner of building marked with sharpie line and labeled HWM with flagging.,30.46661,-90.95997,9/1/2016 5:00:00 AM,,,,N/A,,4,3.99,1,,"lat long  collected in NAD 83.
Abandoned site. Site is clustered too close to other sites.",Riverine,8/24/2016 5:00:00 AM,1,1,7,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Other (Note in Description box),Handheld GPS,NAD83,Kelvey Merrill,Skylar McHenry,LATAN16860,11152 Avila Dr.: mailbox marked with flagging. The HWM is marked with sharpie on a strip of flagging on mailbox,,,LA,Tangipahoa Parish,,No,,15185,Natalbany,16860,129,5,1,Mailbox marked on side with flagging and electrical tape. Top of flagging corresponds to HWM line.,30.48881,-90.54521,9/1/2016 4:00:00 AM,,,,Right,,9,3.7,1,,HWM abandoned do to another HWM within 100 yards marked by another team in the same neighborhood.,Riverine,8/25/2016 4:00:00 AM,0,2,1602,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
